ttrip_id,expan_fac,expan_fac/10,av1,autodis,autotime,num_cars,parking_fare,congcharg,av2,av3,walktime,walkdis,av4,biketime,bikedis,av5,bus_transittime,bus_transitwalktime,bus_transitinvehtime,bus_transitnumtransfers,bus_fare,av6,rail_transittime,rail_transitwalktime,rail_transitinvehtime,rail_transitnumtransfers,rail_fare,av8,pnk_transittime,pnk_fare,pnk_transitnumtransfers,pnk_transitwalktime,expan_fac,avdis,avtime,avptdis,avpttime,avptwalkdis,avptWalkTime,avptInVehDis,avptInVehTime,avptNumSteps,avptTransitLineNames
90781210101,670.57,67.057,1,21632,2854,1,1.71,1,1,1,14783,19970,1,4180,21103,0,0,0,0,0,0,1,3025,1647,1380,0,4.15,1,3025,4.15,0,1647,670.57,3363,459,19987,1485,578,465,19409,1020,1,southeastern/
90781210201,585.09,58.509,1,25990,3093,1,1.98,1,1,1,16717,22375,1,5063,25322,0,0,0,0,0,0,1,4150,1499,2296,1,4.15,1,4150,4.15,1,1499,585.09,3363,459,22043,2562,515,417,21528,1800,2,southeastern/521/
90781710101,611.09,61.109,1,22799,3589,1,3.34,1,1,1,15379,20612,1,4348,22059,0,0,0,0,0,0,1,2743,823,1920,0,4.15,1,2743,4.15,0,823,611.09,3212,447,20554,1886,310,264,20244,1335,2,southeastern/141/
90800310201,267.25,26.725,1,28936,4058,1,3.04,1,1,1,18810,24979,1,5791,28668,0,0,0,0,0,0,1,3896,1530,1980,1,4.85,1,3896,4.85,1,1530,267.25,5514,805,24306,2223,520,486,23786,1380,2,southeastern/Jubilee/
90802610101,499.28,49.928,1,33382,4008,1,3.04,1,1,1,20845,27580,1,6237,30478,0,0,0,0,0,0,1,5088,1132,2820,2,4.85,1,5088,4.85,2,1132,499.28,4199,616,26656,2915,422,340,26234,1920,3,southeastern/Jubilee/23/
1.00422E+11,259.97,25.997,1,21412,2307,0,1.71,1,1,1,12865,17356,1,3622,18272,0,0,0,0,0,0,1,3206,1888,1320,0,4.15,1,3206,4.15,0,1888,259.97,9446,1113,20462,1787,1053,767,19409,1020,1,southeastern/
1.00423E+11,263.86,26.386,1,28041,3541,1,3.04,1,1,1,16647,22135,1,4716,23585,0,0,0,0,0,0,1,3853,1661,1680,1,4.15,1,3853,4.15,1,1661,263.86,9760,1149,24578,2404,792,669,23786,1380,2,southeastern/Jubilee/
1.00424E+11,324.15,32.415,1,26678,3317,1,3.34,1,1,1,15297,20325,1,4900,23798,0,0,0,0,0,0,1,3856,398,2733,2,4.15,1,3856,4.15,2,398,324.15,8197,1140,21875,2372,189,164,21686,1860,2,southeastern/521/
1.00442E+11,353.12,35.312,1,19302,1966,2,1.71,0,1,1,11460,15513,1,3134,16316,1,5408,1560,3628,1,1.3,1,3991,680,1953,2,2.7,1,4699.5,2,1.5,1120,353.12,8073,1117,23118,2585,844,549,22274,1260,2,southeastern/Southern/
1.0066E+11,556.05,55.605,1,30130,4425,1,3.04,1,1,1,20761,28232,1,6198,31748,0,0,0,0,0,0,1,4431,1190,2880,1,4.85,1,4431,4.85,1,1190,556.05,11332,1112,23071,2420,799,619,22272,1800,1,southeastern/
1.0066E+11,369.38,36.938,1,29294,4385,3,3.04,1,1,1,20510,27652,1,6518,32109,0,0,0,0,0,0,1,3963,557,2700,2,4.85,1,3963,4.85,2,557,369.38,11296,1132,24255,2161,469,424,23786,1380,2,southeastern/Jubilee/
1.00661E+11,513.51,51.351,1,25929,3547,2,1.52,1,1,1,18805,25503,1,5506,29129,0,0,0,0,0,0,1,4568,677,2700,2,4.85,1,4568,4.85,2,677,513.51,11577,1094,23941,2574,794,682,23147,1620,2,southeastern/South West Trains/
1.00663E+11,440.9,44.09,1,30655,4465,2,2.46,1,1,1,21273,28764,1,6679,33243,0,0,0,0,0,0,1,5554,815,4080,1,4.85,1,5554,4.85,1,815,440.9,12305,1251,21744,2343,216,193,21528,1800,2,southeastern/521/
1.00664E+11,508.28,50.828,1,25893,3563,1,1.52,0,1,1,18666,25419,1,5590,28892,0,0,0,0,0,0,1,4689,582,3207,2,2.95,1,4689,2.95,2,582,508.28,12008,1305,23594,2310,447,418,23147,1620,2,southeastern/South West Trains/
1.00681E+11,259.45,25.945,1,31267,4244,1,1.15,0,1,1,21454,28731,1,6327,32510,0,0,0,0,0,0,1,5376,1355,3540,1,2.95,1,5376,2.95,1,1355,259.45,2485,398,30576,4001,743,598,29833,3000,2,southeastern/District/
1.0069E+11,763.02,76.302,1,19243,2981,2,1.71,1,1,1,13503,18187,1,3912,20455,0,0,0,0,0,0,1,2847,1345,1500,0,4.15,1,2847,4.15,0,1345,763.02,7251,890,21925,2075,874,693,21051,1380,1,southeastern/
1.0069E+11,639.72,63.972,1,25305,3794,2,3.04,0,1,1,15327,20526,1,4136,21383,0,0,0,0,0,0,1,2714,475,1886,1,4.15,1,2714,4.15,1,475,639.72,7251,890,24165,2475,104,75,24061,2400,1,southeastern/
1.00691E+11,814.76,81.476,1,27309,3106,1,2.46,1,1,1,16961,22531,1,5255,25606,0,0,0,0,0,0,1,3917,417,2829,2,4.15,1,3917,4.15,2,417,814.76,6367,751,22544,2627,176,150,22368,2130,2,southeastern/521/
