ttrip_id,oeast,onrth,deast,denrth,expan_fac,expan_fac/10,choice,av1,autodis,autotime,num_cars,parking_fare,congcharg,av2,av3,walktime,walkdis,av4,biketime,bikedis,av5,bus_transittime,bus_transitwalktime,bus_transitinvehtime,bus_transitnumtransfers,bus_fare,av6,rail_transittime,rail_transitwalktime,rail_transitinvehtime,rail_transitnumtransfers,rail_fare,av8,pnk_transittime,pnk_fare,pnk_transitnumtransfers,pnk_transitwalktime
60690710202.00,546365,166520,546084,169480,489.69,48.969,1,1,4468,508,1,0.47,0,1,1,2990,3966,1,939,4350,1,810,124,685,0,1.3,0,0,0,0,0,0,1,810,1.3,0,124
90671610102.00,543393,169478,540740,166102,301.87,30.187,1,1,5870,732,2,0.47,0,1,1,4362,5841,1,1267,6155,1,2245,446,1500,1,1.3,1,2039,593,1177,1,1.45,1,2142,1.375,1,519
70713010301.00,546691,165535,543210,168258,602.36,60.236,1,1,6432,804,1,0.47,0,1,1,3831,5141,1,1231,5892,1,2063,611,1468,0,1.3,1,2427,2061,360,0,1.65,1,2245,1.475,0,1336
90671610402.00,543393,169478,540740,166102,247.41,24.741,1,1,5870,732,2,0.47,0,1,1,4362,5841,1,1267,6155,1,2245,446,1500,1,1.3,1,2039,593,1177,1,1.45,1,2142,1.375,1,519
50800310401.00,546462,167414,547332,166105,693.06,69.306,1,1,2474,376,2,0.47,0,1,1,1880,2470,1,638,2474,1,1409,1208,192,0,1.3,0,0,0,0,0,0,1,1409,1.3,0,1208
80691810201.00,546677,170028,543196,161610,463.51,46.351,1,1,12268,1305,2,0.47,0,1,1,8041,10374,1,2785,11212,1,2741,400,1665,1,1.3,0,0,0,0,0,0,1,2741,1.3,1,400
80810410301.00,546505,168161,543538,171053,393.93,39.393,1,1,5187,671,1,0.47,0,1,1,3653,4800,1,1173,5108,1,1230,555,676,0,1.3,1,2229,644,960,1,2.25,1,1729.5,1.775,0.5,599
60681710101.00,546953,165728,546331,166459,621.78,62.178,1,1,1536,240,1,0.47,0,1,1,938,1330,1,270,1369,1,645,358,264,0,1.3,0,0,0,0,0,0,1,645,1.3,0,358
80691810105.00,546677,170028,543196,161610,522.24,52.224,1,1,12268,1305,2,0.47,0,1,1,8041,10374,1,2785,11212,1,2741,400,1665,1,1.3,0,0,0,0,0,0,1,2741,1.3,1,400
50781310101.00,544119,167605,543538,171053,674.52,67.452,1,1,5241,596,1,0.47,0,1,1,3663,4875,1,1104,4987,1,1482,389,1092,0,1.3,1,2246,690,635,1,1.65,1,1864,1.475,0.5,539
